collision,collision_type,comm_drop_rate,interventions,mean_goal_distance,mean_inference_ms,mean_path_length,min_dynamic_distance,min_pair_distance,min_static_clearance,num_agents,p95_inference_ms,policy,qp_infeasible,scenario,seed,steps,team_success,timeout,total_energy,training_seed,trajectory_file
False,none,0.0,311,0.2631109356880188,2.5084312858424433,21.711461631953718,1.2788581848144531,1.4353822469711304,0.060400962829589844,5,3.017565479967743,gcbf_privileged,6,wind,31024,92,True,False,157.56642615378223,1102,
True,static_or_boundary,0.0,346,0.9466859698295593,2.794011587728605,21.258856330811977,1.1315979957580566,1.3729931116104126,-0.01327204704284668,5,3.7414657883346076,gcbf_privileged,42,wind,31025,99,False,False,138.95726582649695,1102,
False,none,0.0,339,0.25036969780921936,2.933231696468031,23.00040504001081,1.3878909349441528,1.5544767379760742,0.40396788716316223,5,3.868951927870512,gcbf_privileged,25,wind,31026,101,True,False,151.58244915858813,1102,
True,static_or_boundary,0.0,311,6.5398383140563965,2.7791716542245974,13.444661981612445,1.1265591382980347,1.7857749462127686,-0.11224222183227539,5,3.447765705641359,gcbf_privileged,26,wind,31027,74,False,False,101.20844177282743,1102,
True,static_or_boundary,0.0,134,10.452574729919434,3.460464608256838,5.2368544332683085,1.3466517925262451,2.1859869956970215,-0.062031090259552,5,3.94292923156172,gcbf_privileged,17,wind,31028,28,False,False,34.07367777872423,1102,
False,none,0.0,391,0.326011061668396,2.7643390549201285,25.088568552955984,1.42683744430542,1.4506300687789917,0.177376389503479,5,3.5796241834759708,gcbf_privileged,60,wind,31029,128,False,True,204.25911028126575,1102,
False,none,0.0,408,1.305391788482666,2.7239536138949916,24.661244853772224,1.414711356163025,1.3994988203048706,0.4323788285255432,5,3.6416965653188527,gcbf_privileged,111,wind,31030,128,False,True,191.83566250324543,1102,
False,none,0.0,366,0.2485734522342682,2.634576896929907,24.565812361240386,1.1744080781936646,1.7194827795028687,0.08964347839355469,5,3.130719368346034,gcbf_privileged,2,wind,31031,108,True,False,187.3655321549595,1102,
True,static_or_boundary,0.0,176,9.318002700805664,2.6566055288689365,7.079854066669941,1.4006609916687012,2.524108648300171,-0.04790520668029785,5,3.406195435672998,gcbf_privileged,25,wind,31032,37,False,False,41.227487171272514,1102,
True,static_or_boundary,0.0,122,10.20530891418457,2.463381314926125,5.744056931138038,1.2415480613708496,2.2334647178649902,-0.015287220478057861,5,2.913418225944042,gcbf_privileged,17,wind,31033,27,False,False,29.245491567940917,1102,
True,dynamic_obstacle,0.0,156,9.293333053588867,2.73571813287323,6.675514028221369,0.5085452795028687,1.8307117223739624,0.7455320954322815,5,4.093043273314834,gcbf_privileged,10,wind,31034,34,False,False,41.30129803428281,1102,
False,none,0.0,404,0.2645644545555115,2.646310188408409,23.906646059826016,1.1153764724731445,1.576459527015686,0.16705358028411865,5,3.4090608824044466,gcbf_privileged,57,wind,31035,119,True,False,172.26598420159644,1102,
True,static_or_boundary,0.0,168,9.861095428466797,2.7308556988524892,6.223072078451514,1.375672698020935,1.7189247608184814,-0.026566147804260254,5,3.611812775488943,gcbf_privileged,27,wind,31036,36,False,False,47.011712705796526,1102,
True,static_or_boundary,0.0,80,11.147614479064941,2.4985046372474993,3.7732216343283653,0.9784681797027588,2.861832618713379,-0.03561735153198242,5,2.879406884312629,gcbf_privileged,11,wind,31037,17,False,False,21.84600016847253,1102,
False,none,0.0,402,1.0506227016448975,2.750141400611028,25.25862602069974,1.4454727172851562,1.797611117362976,0.0215151309967041,5,3.5523934173397715,gcbf_privileged,60,wind,31038,128,False,True,208.97023370311945,1102,
True,static_or_boundary,0.0,230,6.75628137588501,3.097476318989899,10.288450220227242,1.1997262239456177,1.4811333417892456,-0.06009852886199951,5,4.103687475435436,gcbf_privileged,35,wind,31039,51,False,False,60.22016253167385,1102,
True,dynamic_obstacle,0.0,45,12.040514945983887,3.746767225675285,2.565974494814873,0.5277953147888184,5.9915995597839355,0.5817923545837402,5,4.118862235918641,gcbf_privileged,5,wind,31040,10,False,False,15.87580955401063,1102,
True,static_or_boundary,0.0,229,7.2596001625061035,3.1360434225703377,9.431624102219939,1.155527949333191,1.7135593891143799,-0.0570521354675293,5,3.972870390862226,gcbf_privileged,65,wind,31041,49,False,False,54.382344665020355,1102,
True,static_or_boundary,0.0,65,11.59589958190918,2.6005319164445004,3.6806335456669332,0.9143139123916626,4.860363960266113,-0.015602827072143555,5,2.971315942704677,gcbf_privileged,10,wind,31042,15,False,False,16.95646133221453,1102,
True,static_or_boundary,0.0,88,10.41123104095459,2.535693405661732,4.531878811120987,0.8544254899024963,2.5094759464263916,-0.04730939865112305,5,2.728071215096861,gcbf_privileged,16,wind,31043,20,False,False,22.817353178805206,1102,
True,static_or_boundary,0.0,181,8.67426872253418,2.715263945552019,7.632112240605056,1.460028052330017,1.4687105417251587,-0.08331477642059326,5,3.1370824202895164,gcbf_privileged,36,wind,31044,39,False,False,56.47876762475789,1102,
False,none,0.0,486,0.9318989515304565,2.702727280848194,25.039193638414144,0.8006985783576965,1.2549052238464355,0.4937162399291992,5,3.4269583760760725,gcbf_privileged,20,wind,31045,128,False,True,212.4428538002685,1102,
True,static_or_boundary,0.0,168,9.19487476348877,2.6969602772009535,7.203167988732457,0.5845131874084473,1.7677199840545654,-0.07347625494003296,5,3.2342553604394193,gcbf_privileged,40,wind,31046,37,False,False,47.13242232351331,1102,
False,none,0.0,326,0.3865010738372803,2.567693733267094,21.902344603836536,1.4967530965805054,1.6390117406845093,0.07028484344482422,5,3.3173711504787207,gcbf_privileged,8,wind,31047,95,True,False,131.58750298309624,1102,
True,static_or_boundary,0.0,379,4.629231929779053,2.5526416316432385,17.479683941230178,1.32615327835083,1.4836759567260742,-0.009185552597045898,5,3.2208910677582026,gcbf_privileged,124,wind,31048,95,False,False,118.89113129355701,1102,
True,static_or_boundary,0.0,134,9.390364646911621,2.754472630719344,6.529006068408489,1.410110354423523,2.153330087661743,-0.012754440307617188,5,4.040876706130802,gcbf_privileged,23,wind,31049,30,False,False,38.49467603709854,1102,
True,static_or_boundary,0.0,89,10.38294792175293,2.7434078732594136,5.113167673721909,0.9679616689682007,2.575965642929077,-0.025825023651123047,5,3.2697957940399647,gcbf_privileged,14,wind,31050,21,False,False,20.73051062389277,1102,
True,static_or_boundary,0.0,181,8.669317245483398,2.4770660849753767,8.328233780711889,0.8199556469917297,1.2300301790237427,-0.07425051927566528,5,3.0211553443223234,gcbf_privileged,37,wind,31051,40,False,False,54.983913652729825,1102,
True,dynamic_obstacle,0.0,174,9.54726505279541,2.7486684958677032,6.512789191305638,0.44391271471977234,1.5832877159118652,0.31457048654556274,5,3.579243598505854,gcbf_privileged,53,wind,31052,37,False,False,40.91386492787933,1102,
False,none,0.0,339,0.2712743282318115,2.6359825602008233,21.463130890205502,0.9820479154586792,1.257871389389038,0.9644728899002075,5,3.19066469091922,gcbf_privileged,36,wind,31053,99,True,False,160.25174803930713,1102,
True,static_or_boundary,0.0,303,3.6757118701934814,2.688681200882535,15.923656673170626,1.3744539022445679,1.6156187057495117,-0.08026981353759766,5,3.0703269876539707,gcbf_privileged,63,wind,31054,81,False,False,98.24301256012768,1102,
True,static_or_boundary,0.0,151,9.80416202545166,2.6670998936011032,6.367171296477318,1.2089855670928955,1.714174509048462,-0.03808927536010742,5,3.3708490896970025,gcbf_privileged,22,wind,31055,33,False,False,41.280651874811156,1102,
True,static_or_boundary,0.0,206,8.272871017456055,2.7231710555497557,9.634533781185747,1.2271500825881958,1.5687588453292847,-0.16730594635009766,5,3.496445226483047,gcbf_privileged,8,wind,31056,48,False,False,52.24906892933359,1102,
True,static_or_boundary,0.0,246,5.846245288848877,2.7786405249075457,11.472334225848318,0.8606709241867065,1.5396759510040283,-0.0003050565719604492,5,3.4967886982485648,gcbf_privileged,30,wind,31057,55,False,False,66.56267640976148,1102,
False,none,0.0,314,0.2546549141407013,2.712679130243177,21.11357134655118,1.2847857475280762,1.4989885091781616,0.8476338386535645,5,3.6030216841027136,gcbf_privileged,14,wind,31058,94,True,False,125.9015664655526,1102,
True,static_or_boundary,0.0,103,10.551786422729492,2.7561407028274103,4.876988588273525,1.4058876037597656,2.591049909591675,-0.08875691890716553,5,3.2824875437654555,gcbf_privileged,8,wind,31059,22,False,False,28.34379457682371,1102,
True,static_or_boundary,0.0,141,8.932265281677246,2.3470393592311494,6.936574539914727,0.8073053359985352,1.5634567737579346,-0.01940619945526123,5,2.774237538687885,gcbf_privileged,21,wind,31060,31,False,False,41.79172621361795,1102,
False,none,0.0,479,1.5850193500518799,2.457072518154746,22.185749235004188,1.1511549949645996,1.5709978342056274,0.3032875061035156,5,3.31700675887987,gcbf_privileged,24,wind,31061,128,False,True,189.51940912771533,1102,
False,none,0.0,431,0.24589714407920837,2.732157112833688,25.82163780927658,1.0540733337402344,2.1630990505218506,0.11319683492183685,5,3.625921136699617,gcbf_privileged,72,wind,31062,123,True,False,179.54863227817987,1102,
False,none,0.0,368,0.9632104635238647,2.9644807782460703,26.18946971409023,0.95774245262146,1.2057427167892456,0.6097736358642578,5,3.684847650583833,gcbf_privileged,17,wind,31063,128,False,True,239.54375766176236,1102,
True,static_or_boundary,0.0,239,8.934532165527344,2.947725779376924,8.843993972986937,1.4246141910552979,2.299759864807129,-0.016788005828857422,5,3.9892226457595807,gcbf_privileged,34,wind,31064,50,False,False,57.12597116233519,1102,
False,none,0.0,363,0.2997555136680603,2.7009098484995775,25.650305930525064,1.30838143825531,1.5540051460266113,0.7870216965675354,5,3.630987042561173,gcbf_privileged,5,wind,31065,128,False,True,223.95673148380956,1102,
False,none,0.0,388,0.625810980796814,2.7549963615456363,25.827397737465798,1.123916745185852,1.6787837743759155,0.20119380950927734,5,3.5251591936685136,gcbf_privileged,30,wind,31066,128,False,True,203.84952572151633,1102,
False,none,0.0,483,2.514791965484619,2.6243559950671624,23.844059506431222,1.2632046937942505,1.237669587135315,0.011938214302062988,5,3.3221241668798025,gcbf_privileged,39,wind,31067,128,False,True,214.59756901229684,1102,
False,none,0.0,441,2.164121627807617,2.7182068461115705,23.67630455996841,1.279510736465454,1.5595698356628418,0.5160050392150879,5,3.48300941986963,gcbf_privileged,93,wind,31068,128,False,True,204.98062241249863,1102,
True,static_or_boundary,0.0,137,9.737560272216797,3.1020292546600103,5.910514008253813,1.387912392616272,1.7394026517868042,-0.0538104772567749,5,4.776884929742662,gcbf_privileged,19,wind,31069,30,False,False,40.48038913862547,1102,
False,none,0.0,338,0.3612443804740906,2.7647334313725387,23.047065268456937,1.054568886756897,1.1924476623535156,0.2038745880126953,5,3.610017034225166,gcbf_privileged,2,wind,31070,103,True,False,149.79653431833867,1102,
True,static_or_boundary,0.0,232,8.572332382202148,2.6763373968639863,9.796829316392541,0.5565671324729919,1.803482174873352,-0.03189575672149658,5,3.727054968476294,gcbf_privileged,38,wind,31071,54,False,False,74.79118185176048,1102,
