step,time_s,uav,x_m,y_m,z_m,goal_x_m,goal_y_m,goal_z_m
8,2.0,3,-2.2117598056793213,-4.985085487365723,4.404291152954102,3.556056022644043,6.004863739013672,4.364777088165283
9,2.25,1,6.047189235687256,-0.6600855588912964,3.8557631969451904,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
9,2.25,2,-3.328075885772705,2.89296817779541,4.222775936126709,3.2338788509368896,-5.552061557769775,4.519034385681152
9,2.25,3,-2.0245797634124756,-4.937882423400879,4.5507636070251465,3.556056022644043,6.004863739013672,4.364777088165283
10,2.5,1,5.878918647766113,-0.7465404272079468,3.992767095565796,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
10,2.5,2,-3.0578999519348145,2.5797524452209473,4.371922969818115,3.2338788509368896,-5.552061557769775,4.519034385681152
10,2.5,3,-1.954864501953125,-4.770277500152588,4.694684028625488,3.556056022644043,6.004863739013672,4.364777088165283
11,2.75,1,5.745333194732666,-0.9241217970848083,4.129408359527588,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
11,2.75,2,-2.9446444511413574,2.3895881175994873,4.541435241699219,3.2338788509368896,-5.552061557769775,4.519034385681152
11,2.75,3,-1.8299436569213867,-4.679640769958496,4.881059169769287,3.556056022644043,6.004863739013672,4.364777088165283
12,3.0,1,5.484570026397705,-0.9991077184677124,4.2590742111206055,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
12,3.0,2,-2.733330726623535,2.1692466735839844,4.685854434967041,3.2338788509368896,-5.552061557769775,4.519034385681152
12,3.0,3,-1.7954487800598145,-4.480586528778076,5.0422587394714355,3.556056022644043,6.004863739013672,4.364777088165283
13,3.25,1,5.247683048248291,-1.1753153800964355,4.380424499511719,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
13,3.25,2,-2.6765482425689697,2.00189208984375,4.8473219871521,3.2338788509368896,-5.552061557769775,4.519034385681152
13,3.25,3,-1.7194660902023315,-4.356894016265869,5.251100063323975,3.556056022644043,6.004863739013672,4.364777088165283
14,3.5,1,4.8887858390808105,-1.2323496341705322,4.4837565422058105,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
14,3.5,2,-2.523693799972534,1.7751514911651611,4.975386142730713,3.2338788509368896,-5.552061557769775,4.519034385681152
14,3.5,3,-1.6537253856658936,-4.126650810241699,5.39915657043457,3.556056022644043,6.004863739013672,4.364777088165283
15,3.75,1,4.539880752563477,-1.3033660650253296,4.56275749206543,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
15,3.75,2,-2.503598690032959,1.5897557735443115,5.114328861236572,3.2338788509368896,-5.552061557769775,4.519034385681152
15,3.75,3,-1.5870890617370605,-3.9638023376464844,5.58411169052124,3.556056022644043,6.004863739013672,4.364777088165283
16,4.0,1,4.167062759399414,-1.303558111190796,4.651183128356934,-7.2326459884643555,-0.12903286516666412,4.5721564292907715
16,4.0,2,-2.375159502029419,1.3534328937530518,5.241091251373291,3.2338788509368896,-5.552061557769775,4.519034385681152
16,4.0,3,-1.4535655975341797,-3.6937942504882812,5.690281867980957,3.556056022644043,6.004863739013672,4.364777088165283
